"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message"
"151707","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","409","Southeast Queens","2005","2005-01-01T00:00:00.000","53.0",
"151659","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","409","Southeast Queens","2005","2005-01-01T00:00:00.000","54.7",
"151683","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","UHF42","206","Borough Park","2005","2005-01-01T00:00:00.000","54.9",
"154502","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","102","Greenwich Village and Soho (CD2)","2005","2005-01-01T00:00:00.000","109.4",
"154513","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","201","Mott Haven and Melrose (CD1)","2005","2005-01-01T00:00:00.000","63.5",
"151764","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","Borough","3","Manhattan","2005","2005-01-01T00:00:00.000","6.2",
"151724","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","UHF42","106","High Bridge - Morrisania","2005","2005-01-01T00:00:00.000","5.5",
"131048","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","304","Upper West Side","2005-2007","2005-01-01T00:00:00.000","80.5",
"130711","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","309","Union Square - Lower East Side","2005","2005-01-01T00:00:00.000","5.0",
"154514","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","202","Hunts Point and Longwood (CD2)","2005","2005-01-01T00:00:00.000","34.9",
"154526","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","302","Fort Greene and Brooklyn Heights (CD2)","2005","2005-01-01T00:00:00.000","96.3",
"154442","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","101","Financial District (CD1)","2005","2005-01-01T00:00:00.000","5.3",
"154499","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","502","South Beach and Willowbrook (CD2)","2005","2005-01-01T00:00:00.000","1.2",
"154443","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","102","Greenwich Village and Soho (CD2)","2005","2005-01-01T00:00:00.000","9.6",
"154485","645","Annual vehicle miles traveled (trucks)","Million miles","per square mile","CD","402","Woodside and Sunnyside (CD2)","2005","2005-01-01T00:00:00.000","5.0",
"154501","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","101","Financial District (CD1)","2005","2005-01-01T00:00:00.000","91.6",
"154557","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","501","St. George and Stapleton (CD1)","2005","2005-01-01T00:00:00.000","24.1",
"154558","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","502","South Beach and Willowbrook (CD2)","2005","2005-01-01T00:00:00.000","24.2",
"154544","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","402","Woodside and Sunnyside (CD2)","2005","2005-01-01T00:00:00.000","72.8",
"130954","651","Cardiovascular hospitalizations due to PM2.5 (age 40+)","Estimated annual rate","per 100,000 adults","UHF42","306","Chelsea - Clinton","2005-2007","2005-01-01T00:00:00.000","20.6",
"131256","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","410","Rockaways","2005-2007","2005-01-01T00:00:00.000","60.0",
"130939","651","Cardiovascular hospitalizations due to PM2.5 (age 40+)","Estimated annual rate","per 100,000 adults","UHF42","202","Downtown - Heights - Slope","2005-2007","2005-01-01T00:00:00.000","28.6",
"130964","651","Cardiovascular hospitalizations due to PM2.5 (age 40+)","Estimated annual rate","per 100,000 adults","UHF42","406","Fresh Meadows","2005-2007","2005-01-01T00:00:00.000","19.9",
"154607","643","Annual vehicle miles traveled","Million miles","per square mile","CD","406","Rego Park and Forest Hills (CD6)","2005","2005-01-01T00:00:00.000","91.2",
"131030","653","Asthma emergency departments visits due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","104","Pelham - Throgs Neck","2005-2007","2005-01-01T00:00:00.000","114.6",
"130697","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","206","Borough Park","2005","2005-01-01T00:00:00.000","2.5",
"131126","655","Asthma hospitalizations due to Ozone","Estimated annual rate (under age 18)","per 100,000 children","UHF42","104","Pelham - Throgs Neck","2005-2007","2005-01-01T00:00:00.000","28.0",
"154516","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","204","Highbridge and Concourse (CD4)","2005","2005-01-01T00:00:00.000","87.3",
"130730","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","Borough","3","Manhattan","2005","2005-01-01T00:00:00.000","4.7",
"130722","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","410","Rockaways","2005","2005-01-01T00:00:00.000","1.4",
"151640","643","Annual vehicle miles traveled","Million miles","per square mile","UHF42","211","Williamsburg - Bushwick","2005","2005-01-01T00:00:00.000","44.2",
"130721","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","409","Southeast Queens","2005","2005-01-01T00:00:00.000","1.8",
"130811","648","Asthma emergency department visits due to PM2.5","Estimated annual rate (under age 18)","per 100,000 children","UHF42","307","Gramercy Park - Murray Hill","2005-2007","2005-01-01T00:00:00.000","61.7",
"130700","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","209","Bensonhurst - Bay Ridge","2005","2005-01-01T00:00:00.000","2.8",
"130701","646","Outdoor Air Toxics - Benzene","Annual average concentration","Âµg/m3","UHF42","210","Coney Island - Sheepshead Bay","2005","2005-01-01T00:00:00.000","2.4",
"154541","644","Annual vehicle miles traveled (cars)","Million miles","per square mile","CD","317","East Flatbush (CD17)","2005","2005-01-01T00:00:00.000","95.2",
"131260","657","Asthma emergency department visits due to PM2.5","Estimated annual rate (age 18+)","per 100,000 adults","UHF42","504","South Beach - Tottenville","2005-2007","2005-01-01T00:00:00.000","16.5",
